row,TIC,split,sector,camera,ccd,detector_x,detector_y
370,261156474,train,1,4,2,1978.6313057907475,43.88367895398368
373,261156464,train,1,4,2,1969.6824478476574,41.135632619848394
375,261156447,train,1,4,2,1964.6241334013675,46.119272106975004
376,261156443,train,1,4,2,1964.384659396907,50.64919929246442
378,392025977,train,1,4,2,1969.1087431716703,37.240277699502855
380,392025965,train,1,4,2,1955.7757863315826,38.056400971746015
381,392025962,train,1,4,2,1959.3832370706027,43.56137525697409
384,392025956,train,1,4,2,1955.0737947453406,46.30072332706493
386,392025953,train,1,4,2,1954.2449370274535,47.427625895651914
390,261156446,train,1,4,2,1971.2295577895954,54.87590074299455
392,261156442,train,1,4,2,1967.5073335136121,54.32630478176343
395,261156428,train,1,4,2,1964.2488850777484,60.26590458360913
396,261204279,train,1,4,2,1962.5228659974805,63.694923870580055
401,392025936,train,1,4,2,1949.5463861871826,49.75233858200831
404,392025916,train,1,4,2,1939.8553259307027,55.39172711726387
405,724112617,train,1,4,2,1978.601495948366,2.6759134522234547
409,392013461,train,1,4,2,1964.8863664266992,10.199942458691877
415,261139874,train,1,4,2,1956.1886165665092,3.004491299865916
419,261139855,train,1,4,2,1946.9912604838196,8.848389197811434
421,392013449,train,1,4,2,1964.5503947263308,21.871988899361348
425,392013441,train,1,4,2,1959.2754955861656,20.8667523849847
427,392013431,train,1,4,2,1956.126950957203,25.20221492335369
428,392013427,train,1,4,2,1955.1779818706295,26.606300944869073
430,261139844,train,1,4,2,1942.9054527184724,14.974279132084904
432,261139831,train,1,4,2,1940.4422723948496,25.240857568719573
435,261139824,train,1,4,2,1933.5935584005001,21.352838976970386
436,261139852,train,1,4,2,1943.967777812517,6.03371000646123
437,261137462,train,1,4,2,1940.9275016606514,7.510249510974608
439,261137451,train,1,4,2,1935.860989623279,9.424476518129149
446,261137431,train,1,4,2,1923.9825746121685,20.391379233473092
450,261137418,train,1,4,2,1912.6493625206806,17.06944369165813
455,261108847,train,1,4,2,1904.6490150888071,14.948142385970177
456,261108834,train,1,4,2,1900.919340609567,17.28606471589839
457,392013419,train,1,4,2,1954.026733817386,33.49280022542206
460,392025941,train,1,4,2,1945.6660380566402,41.71945792533499
464,392013394,train,1,4,2,1940.0784275181438,40.063842651418916
468,392013395,train,1,4,2,1935.6149502518495,33.077693637970384
478,261139779,train,1,4,2,1919.5604758671338,39.52131789774069
479,261139776,train,1,4,2,1919.7234697504477,40.56999783386338
484,392013375,train,1,4,2,1927.6059439726444,49.257619481293325
486,392025903,train,1,4,2,1927.4150516175291,57.789635135666586
487,392013362,train,1,4,2,1922.3589492200508,55.8998369179375
491,392013373,train,1,4,2,1924.9044422489753,47.05879573368319
492,261139771,train,1,4,2,1915.1458075221217,41.75200649170892
495,261139755,train,1,4,2,1906.0699927255991,50.6119189196802
498,261137417,train,1,4,2,1917.2139716458469,27.834471184157625
499,261139788,train,1,4,2,1916.5504234044558,28.70259992086988
500,261137412,train,1,4,2,1913.7271892312574,26.01422770674657
501,261137407,train,1,4,2,1911.2574671396071,29.346139329861362
502,261137408,train,1,4,2,1911.7909143611566,28.909716180338993
507,261108823,train,1,4,2,1898.0803392476687,24.522080356714298
508,261137398,train,1,4,2,1901.9372197819926,24.025647120000777
512,261137386,train,1,4,2,1901.4514007741707,36.48050745603747
514,261139752,train,1,4,2,1902.8777316419653,47.29366902130818
515,261137366,train,1,4,2,1892.4061350194568,39.263668061486094
517,261137368,train,1,4,2,1891.8806031727859,38.082842333729374
518,261137370,train,1,4,2,1892.6395818970952,37.94334727218164
519,261137362,train,1,4,2,1889.0755129136467,38.76944669869689
520,261137359,train,1,4,2,1888.1375752482604,39.86767577367229
522,261108794,train,1,4,2,1884.3634632344924,35.87489904990137
523,724114390,train,1,4,2,1881.2561484251933,38.039138655628776
525,261137348,train,1,4,2,1880.7566663530515,40.12874764407875
530,261108852,train,1,4,2,1903.3646182375237,8.37920440975942
531,261106493,train,1,4,2,1895.3677193669778,8.164432795383874
532,261108835,train,1,4,2,1896.9735083729895,11.845428291518061
534,261108829,train,1,4,2,1895.624787352747,16.973580597259968
536,261106488,train,1,4,2,1890.6476836650706,9.785633726171708
538,261108819,train,1,4,2,1888.7026558427867,14.869303991166513
542,261091836,train,1,4,2,1874.864476558229,4.79014654556069
543,261091833,train,1,4,2,1874.9158635630822,6.118372043768703
545,261091817,train,1,4,2,1860.7963607830407,4.325164630687761
546,261091813,train,1,4,2,1858.371639371579,4.267024344168831
548,261108817,train,1,4,2,1891.8700483464227,21.130501274552167
549,261108811,train,1,4,2,1891.2261663333013,23.677298826909254
552,261108798,train,1,4,2,1882.9679662849858,30.128784071680524
555,261106468,train,1,4,2,1877.5014993731745,17.473483009081026
556,261106467,train,1,4,2,1878.789114177214,19.76083110188395
559,261108795,train,1,4,2,1881.6913823352072,31.794135805286288
560,261108788,train,1,4,2,1879.2276129560273,31.773677238429315
562,261108785,train,1,4,2,1874.3129494298098,28.517111473747974
564,261108766,train,1,4,2,1867.3478509922622,33.531758668101205
567,261108773,train,1,4,2,1874.1420871239718,37.50020741734726
568,261108768,train,1,4,2,1872.5724334586719,39.64806823763801
569,261108758,train,1,4,2,1867.918537208641,41.995377787688156
571,261106445,train,1,4,2,1864.7229560231635,25.97837545418591
575,261106431,train,1,4,2,1860.7754766747385,35.16678460406549
576,261106427,train,1,4,2,1857.375447715466,33.319659626366125
577,261106422,train,1,4,2,1857.2452868737842,39.09504259559163
578,261106413,train,1,4,2,1848.5671133443639,32.785001986021896
580,261106407,train,1,4,2,1848.4774049951004,36.743239737967755
585,261091797,train,1,4,2,1854.4820727251351,18.249695425037483
586,261091804,train,1,4,2,1855.3266202973703,15.446726201997729
591,261091806,train,1,4,2,1852.1927346053303,10.354301039007145
593,261089363,train,1,4,2,1842.8674301910391,7.817369469922836
594,261089345,train,1,4,2,1837.0306495219538,14.32817927378732
597,261091780,train,1,4,2,1847.64355303628,26.31361442220378
598,261091782,train,1,4,2,1845.564318138563,20.541317225052527
599,261091778,train,1,4,2,1842.5991756059827,20.674509231863393
600,261091769,train,1,4,2,1839.5422215760534,25.599749175258506
601,261106417,train,1,4,2,1847.3175551351499,29.04085986689913
602,261106402,train,1,4,2,1844.3484986950498,35.12415017992648
603,261091757,train,1,4,2,1837.3407573451382,30.363656776084213
604,261091751,train,1,4,2,1836.244125414387,33.7993249929591
605,261091750,train,1,4,2,1833.8848595742593,30.785530712613216
608,261091764,train,1,4,2,1834.332011563269,20.876335721811955
610,261091755,train,1,4,2,1831.3515442756257,23.90589893007275
612,261091749,train,1,4,2,1830.2424373858619,26.200884583722903
613,261091743,train,1,4,2,1828.1345252109022,29.50241448464009
614,261091738,train,1,4,2,1825.7688393227556,30.389571058658248
617,261089365,train,1,4,2,1840.6870699695494,3.002954721338078
620,261089338,train,1,4,2,1832.447930946091,10.49885706273553
621,261089339,train,1,4,2,1832.836283563857,10.491400956098772
636,261063083,train,1,4,2,1807.5309627516292,12.699307650648192
637,261063077,train,1,4,2,1803.8436414267744,14.978438934683858
638,261063078,train,1,4,2,1804.797101810665,16.273860814071107
639,261063072,train,1,4,2,1800.5211903408197,14.734298755951118
641,261063069,train,1,4,2,1797.153223943723,12.596532678924847
642,261063070,train,1,4,2,1802.232743806992,19.01579464929664
644,261063057,train,1,4,2,1798.0298089383239,21.809581038451338
646,261063062,train,1,4,2,1794.4831113159958,14.345056143826874
651,261060787,train,1,4,2,1793.8542956850742,4.584888951381512
657,261060768,train,1,4,2,1789.0946365757704,16.274897606411734
659,261060763,train,1,4,2,1785.0322263624969,13.562701109079194
660,392011090,train,1,4,2,1779.2068301351462,2.5833395180971803
662,261060765,train,1,4,2,1780.3647245027635,6.337269121969252
665,392011088,train,1,4,2,1780.6726922501327,4.956749535847114
667,392011072,train,1,4,2,1772.642654907218,3.5340491888073244
668,392011068,train,1,4,2,1769.099998484193,3.242509202460727
677,261260136,train,1,4,2,2041.6687283926246,89.40389857913118
680,261260133,train,1,4,2,2042.7917586369244,92.38058255721764
683,261260127,train,1,4,2,2036.1442433007178,90.64294682637617
686,261257472,train,1,4,2,2027.5038785050747,95.31221478758026
689,261257483,train,1,4,2,2030.3920752403494,87.48176321992412
693,261257461,train,1,4,2,2018.724742581235,93.92163322120267
694,261257460,train,1,4,2,2016.4816382692288,91.81339844094721
696,261239014,train,1,4,2,2011.2013364654001,89.6612583668632
697,261260112,train,1,4,2,2033.4637767377526,100.18562723734091
700,261260099,train,1,4,2,2024.7025815603588,105.24568399361601
703,261260090,train,1,4,2,2019.3825646815135,108.68701082735677
704,261257441,train,1,4,2,2015.2768421392561,105.77424556792701
709,261257446,train,1,4,2,2012.7441317957746,100.06863936702334
710,261239005,train,1,4,2,2007.0802761690682,93.3793270661636
712,261257438,train,1,4,2,2006.4468426776907,99.32682732324379
713,261238984,train,1,4,2,2001.8494470596052,98.54695781890848
716,261239029,train,1,4,2,2017.5279499558762,80.94054841581385
723,261239002,train,1,4,2,1999.8140342563693,86.56675661609842
726,261236353,train,1,4,2,2003.4129529764368,76.25579986115719
728,261236340,train,1,4,2,1997.086936147323,81.08628790029422
731,261236332,train,1,4,2,1987.3804848258433,79.46323541168826
732,261236338,train,1,4,2,1994.0761537841659,82.9188922772071
738,261238979,train,1,4,2,1998.25503763904,95.85763592504054
739,261238972,train,1,4,2,1993.2829634351538,96.9573972192575
743,261238955,train,1,4,2,1984.2815509592906,99.61015578848274
745,261236319,train,1,4,2,1989.5598569741032,89.8062009037576
746,261236314,train,1,4,2,1988.392296035503,92.4068994347164
747,261236308,train,1,4,2,1982.3272741492115,92.80083496615768
749,261236307,train,1,4,2,1985.28079713735,96.15705932133119
752,261260089,train,1,4,2,2020.5142049184085,110.24576657845769
757,261257433,train,1,4,2,2012.1978376807763,108.95640962178489
759,261260071,train,1,4,2,2016.0842880874773,118.77206521879793
760,261260066,train,1,4,2,2009.4827011169282,118.16557832758812
762,261257426,train,1,4,2,2001.5066523276405,110.07676320226166
763,261257423,train,1,4,2,2003.0954543921434,113.9759261081778
767,261260059,train,1,4,2,2008.7654237383463,124.58293929338068
769,261260056,train,1,4,2,2006.6070086788986,123.94992234251819
774,261260047,train,1,4,2,2001.0207092173637,123.35757316894532
776,261260034,train,1,4,2,2002.6211606953925,131.95726645175841
781,261257397,train,1,4,2,1992.2451547626808,129.5756803545153
788,261257380,train,1,4,2,1980.8438275898748,128.4818676205894
797,261238927,train,1,4,2,1976.2632214797918,111.33226013770992
801,261236275,train,1,4,2,1968.4028725753406,101.67487085143159
813,261238900,train,1,4,2,1966.651757072878,122.79546349852238
815,261238884,train,1,4,2,1955.4037464489024,127.11795925291368
816,261238888,train,1,4,2,1958.7986095432707,126.68049087774305
820,261236249,train,1,4,2,1957.1080512401409,114.89816575405692
822,261236228,train,1,4,2,1945.4154411699433,117.43366900363102
825,261206741,train,1,4,2,1989.336628623151,73.8782725382722
829,261206724,train,1,4,2,1978.1714805261277,73.57993716007388
830,261206722,train,1,4,2,1975.9632674028855,72.51787067050869
832,261206711,train,1,4,2,1972.674111138405,76.68883243156773
833,261206715,train,1,4,2,1979.1869232380548,79.93823064593829
836,261206703,train,1,4,2,1973.931321325262,81.17263920243117
841,261206695,train,1,4,2,1967.6946085260522,81.50247696330906
842,261206687,train,1,4,2,1962.457667652999,82.63765245773128
843,261204276,train,1,4,2,1969.1428789623617,73.51280797625225
846,261204264,train,1,4,2,1962.754416062924,77.4860252860769
849,261206684,train,1,4,2,1966.2827940616764,88.7229180894638
852,261206665,train,1,4,2,1961.7120470014238,96.92366912968328
853,261206669,train,1,4,2,1964.0164054298964,97.5144447013098
858,261204247,train,1,4,2,1955.4558020796974,85.60801814347317
860,261204234,train,1,4,2,1946.1992821176855,91.09893642322218
863,261204215,train,1,4,2,1939.4725489788,92.55976758974023
865,261156405,train,1,4,2,1953.141097424009,65.16486187326245
868,261156403,train,1,4,2,1950.6503267519577,64.56670084516861
869,261156394,train,1,4,2,1945.588961762869,64.13181527322652
871,261156377,train,1,4,2,1945.6275924605957,75.26478814198231
872,261156372,train,1,4,2,1940.0036414004949,72.5768351830858
875,261156389,train,1,4,2,1943.619351443919,64.56334749460048
878,392025904,train,1,4,2,1931.5466370328118,61.65149725728225
879,392025901,train,1,4,2,1930.7191976362312,62.31413802409447
880,261156370,train,1,4,2,1933.9636205226223,69.34977066477447
881,261156361,train,1,4,2,1932.5392958343973,70.94072574297029
884,392025871,train,1,4,2,1919.866108946247,70.99292203264605
885,261156364,train,1,4,2,1939.9121885276813,79.10147025264297
887,261156356,train,1,4,2,1935.2477450036197,78.15667848324611
890,261156346,train,1,4,2,1934.4701831722307,87.29501559842204
892,261156341,train,1,4,2,1930.115793670911,86.99152902402525
897,392025861,train,1,4,2,1917.8420460226776,79.0754146845247
905,261206653,train,1,4,2,1958.8014019970808,101.45785857737218
908,261206637,train,1,4,2,1948.6401917079043,102.60444072940206
909,261206631,train,1,4,2,1949.6609747713571,106.75124103126377
912,261206624,train,1,4,2,1944.3013983027054,106.16297875940953
913,261204216,train,1,4,2,1942.4709255434357,95.48289026589055
920,261204201,train,1,4,2,1934.7389643170834,101.92688923401433
921,261204193,train,1,4,2,1931.2731104379616,105.52176966379557
924,261206622,train,1,4,2,1947.3480292851448,112.3150906163983
926,261206619,train,1,4,2,1945.4072561670841,110.89645096501238
927,261206610,train,1,4,2,1942.5025393614042,114.38285945976668
928,261206607,train,1,4,2,1938.9145980609073,113.77232879446476
930,261206597,train,1,4,2,1932.8148025612095,112.07469869124532
933,261206596,train,1,4,2,1937.9263511167842,118.42419638231688
935,261206588,train,1,4,2,1935.2286826406755,121.27299954778648
937,261204188,train,1,4,2,1925.4053662221788,105.82172503299506
940,261204175,train,1,4,2,1924.3104736437272,110.29042529069385
941,261206565,train,1,4,2,1921.502561198144,118.79268135432851
943,261204162,train,1,4,2,1914.8563972158652,112.12905984143946
944,261204205,train,1,4,2,1930.5114736468463,93.61432619359034
947,261156319,train,1,4,2,1920.1938673294405,98.44336522328801
949,261156310,train,1,4,2,1917.2876556683016,100.6860890142962
950,261156315,train,1,4,2,1916.2323935085442,97.27031110302796
951,261156308,train,1,4,2,1913.841129160092,98.91206508689571
954,261156302,train,1,4,2,1908.852045027072,96.07025541316713
955,261156290,train,1,4,2,1904.1985127315577,95.89087318390192
957,261156289,train,1,4,2,1907.321293794296,100.15695979806762
959,392025833,train,1,4,2,1903.7976807356195,92.56770796574231
962,261204178,train,1,4,2,1920.0313642908625,104.9797064966725
963,261156292,train,1,4,2,1910.9625030606494,103.14493181662287
966,261204144,train,1,4,2,1907.0651567945388,116.49259340036572
967,261204147,train,1,4,2,1906.5757505425213,113.05784600821409
970,392025820,train,1,4,2,1895.8699823385796,99.38716148840022
971,392025817,train,1,4,2,1896.32033635986,101.91715182685994
974,392025807,train,1,4,2,1890.141985623701,105.96437748222387
977,261260005,train,1,4,2,1992.9790684386003,140.5752040408404
980,261257371,train,1,4,2,1981.3917700846682,138.95248621827676
981,261259999,train,1,4,2,1991.3124881613307,143.45473809919795
982,261259992,train,1,4,2,1984.7523231105297,142.8777623590579
986,261257363,train,1,4,2,1974.7989100080827,139.19599408432194
988,261257346,train,1,4,2,1967.7902057784845,141.9714313543608
989,261257345,train,1,4,2,1965.410332940662,139.88052691215148
990,261238873,train,1,4,2,1958.6758863886664,140.59235296110302
992,261257342,train,1,4,2,1971.1190949291554,148.93754998534612
997,261259947,train,1,4,2,1965.906953979786,158.63038864378655
998,261257319,train,1,4,2,1962.4256592329425,155.782651199893
1000,261257335,train,1,4,2,1968.2003197879537,149.11312277068518
1001,261257334,train,1,4,2,1966.0166323022956,149.55223189260659
1002,261257321,train,1,4,2,1954.6107729491525,146.58876150351762
1003,261257317,train,1,4,2,1958.581007497347,153.20536629124462
1005,261257305,train,1,4,2,1950.7298371211657,156.90528941152994
1006,261238831,train,1,4,2,1944.5371084303088,155.1716624436165
1010,261238882,train,1,4,2,1953.7409628275261,127.81645734942822
1011,261238871,train,1,4,2,1956.8259979461857,139.10762909667912
1012,261238863,train,1,4,2,1952.0967804520317,139.8148773150313
1016,261238850,train,1,4,2,1942.99852100081,139.3908677835718
1019,261236207,train,1,4,2,1942.8904115937858,129.5642017819124
1021,261236212,train,1,4,2,1942.2420345759808,125.2598177165782
1022,261236204,train,1,4,2,1935.7010758494007,127.09116473461249
1024,261236197,train,1,4,2,1934.2589382333542,132.7628712759716
1026,261236189,train,1,4,2,1931.4542700495253,134.85184849685155
1027,261236178,train,1,4,2,1928.8629428502552,137.01349999196873
1028,261238861,train,1,4,2,1952.322724261617,142.6597818166556
1031,261238849,train,1,4,2,1943.7207645317833,142.561970645081
1034,261238840,train,1,4,2,1945.731161111574,151.56816491587364
1035,724118541,train,1,4,2,1943.0178605376975,149.40862227590537
1039,261238822,train,1,4,2,1937.5073243494394,153.91576980232742
1042,261238815,train,1,4,2,1931.0278137542207,150.13764884679236
1048,261236164,train,1,4,2,1921.3693888302669,142.77734499497564
1049,261236161,train,1,4,2,1923.2006058888016,145.26787832047648
1050,261236155,train,1,4,2,1920.4641692051493,146.64376029766873
1051,261236154,train,1,4,2,1920.9079771902802,147.18637610067233
1056,261259927,train,1,4,2,1958.7205529411356,165.57162341909924
1058,261259919,train,1,4,2,1959.6302284210942,168.47087149406974
1060,261259918,train,1,4,2,1957.9768384088818,167.71386245616898
1063,261257295,train,1,4,2,1945.9265060089665,160.7950757592242
1064,261257289,train,1,4,2,1947.552310776641,166.7067216580584
1066,261257282,train,1,4,2,1944.204385251244,169.4391396307561
1068,261259901,train,1,4,2,1953.637459185614,176.10084208629902
1075,261257263,train,1,4,2,1940.741619858095,178.15068963523353
1076,261257275,train,1,4,2,1942.8996082337103,172.5998139349386
1078,261257256,train,1,4,2,1930.5421862767823,170.76503859576158
1079,261257248,train,1,4,2,1927.7147785343664,174.29165139050747
1081,261257242,train,1,4,2,1924.928888699019,175.56316459688995
1082,261257238,train,1,4,2,1925.4316778390018,179.59042286773013
1084,261238813,train,1,4,2,1934.309795117678,155.7600037441529
1089,261238800,train,1,4,2,1931.4420893967267,162.17756820747056
1093,261238789,train,1,4,2,1923.7643701370596,161.30837807127324
1098,724118860,train,1,4,2,1919.1712090029255,157.58925529567094
1100,261236134,train,1,4,2,1912.4405154060364,152.92494038289465
1101,261236126,train,1,4,2,1908.8754747720116,154.2171405234157
1108,261236104,train,1,4,2,1905.220076993393,160.92383310242747
1110,261238771,train,1,4,2,1924.2117162811865,172.45371959840577
1112,261238768,train,1,4,2,1921.8861714505135,170.64205136711146
1113,261238765,train,1,4,2,1918.3994635944016,169.00437476896215
1124,261236073,train,1,4,2,1899.8145316996242,175.87324541236146
